Type,Day,Total_Miles,Duty_Hours,Sleeper_Required,Route_Structure,Stops_Count,Capacity_Util
Route Detail,Mon,242.0,6.55,No,"[0, 6032, 0]",1.0,nan%
Route Detail,Mon,503.0,32.58,Yes,"[0, 6269, 6095, 6096, 6043, 6040, 6108, 6103, 6183, 6102, 6156, 6524, 6825, 6897, 6517, 6457, 6415, 6320, 6340, 6241, 1581, 0]",20.0,98.4%
Route Detail,Mon,578.0,30.95,Yes,"[0, 1821, 2493, 1752, 2466, 2132, 2135, 2114, 2110, 2111, 2210, 2129, 3906, 5401, 0]",13.0,67.3%
Route Detail,Tue,556.0,31.4,Yes,"[0, 6340, 6320, 6349, 6040, 6033, 6457, 6524, 6484, 6854, 6830, 6902, 6927, 6032, 6091, 6082, 0]",15.0,99.8%
Route Detail,Tue,643.0,33.58,Yes,"[0, 3820, 4047, 4276, 3755, 6183, 6105, 6156, 6115, 6106, 2493, 2481, 2467, 2215, 2139, 2115, 0]",15.0,99.4%
Route Detail,Tue,95.0,7.88,No,"[0, 1821, 1730, 2138, 2114, 2116, 2142, 2110, 1910, 1984, 1845, 1887, 0]",11.0,77.2%
Route Detail,Wed,142.0,4.05,No,"[0, 2914, 0]",1.0,nan%
Route Detail,Wed,78.0,2.45,No,"[0, 2370, 0]",1.0,nan%
Route Detail,Wed,435.0,28.38,Yes,"[0, 6108, 6033, 6517, 6516, 6854, 6901, 6927, 6903, 6524, 6062, 6032, 6156, 6105, 6096, 6095, 0]",15.0,97.1%
Route Detail,Wed,427.0,27.17,Yes,"[0, 1701, 1752, 1606, 2903, 2917, 2840, 2822, 6269, 1101, 1060, 3431, 1854, 1876, 0]",13.0,69.6%
Route Detail,Wed,119.0,7.48,No,"[0, 1801, 2155, 2114, 2135, 2115, 2332, 2210, 2111, 2110, 0]",9.0,41.5%
Route Detail,Thu,16.0,0.9,No,"[0, 1821, 0]",1.0,nan%
Route Detail,Thu,38.0,1.45,No,"[0, 2451, 0]",1.0,nan%
Route Detail,Thu,531.0,31.78,Yes,"[0, 2747, 6340, 6320, 6033, 6492, 6451, 6524, 6510, 6851, 6854, 6840, 6927, 6877, 6814, 6103, 6105, 1752, 0]",17.0,99.3%
Route Detail,Thu,170.0,12.25,No,"[0, 2493, 1701, 2766, 2188, 2142, 2108, 2116, 2215, 2134, 2139, 2115, 2120, 2111, 2110, 2138, 1890, 0]",16.0,96.6%
Route Detail,Thu,446.0,26.15,Yes,"[0, 1867, 4092, 4101, 3103, 3109, 3101, 3766, 3755, 3054, 1886, 0]",10.0,59.4%
Route Detail,Fri,444.0,27.6,Yes,"[0, 6051, 6050, 6524, 6615, 6824, 6902, 6870, 6901, 6877, 6810, 6814, 6032, 6035, 0]",13.0,96.7%
Route Detail,Fri,349.0,26.22,Yes,"[0, 2451, 2493, 2453, 1701, 1772, 1581, 1570, 6320, 6340, 6156, 6103, 6108, 6084, 1510, 1420, 0]",15.0,92.4%
Route Detail,Fri,215.0,7.38,No,"[0, 1843, 4101, 1970, 1867, 0]",4.0,43.5%
Route Detail,Fri,60.0,6.0,No,"[0, 2138, 2111, 2199, 2120, 2115, 2114, 2129, 1801, 1821, 0]",9.0,59.1%
,,,,,,,
WEEKLY TOTAL,ALL,6087.0,352.2,10,,,
ANNUAL ESTIMATE,52 Weeks,316524.0,18314.4,520,,,
